case_no,ap_case_defn_key,status_dttm,status,code,value,description,violation_stno,violation_sthigh,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_addr2,contact_city,contact_state,contact_zip,sam_id,latitude,longitude,location,contact_addr1_normalized,zip_str,6a. street #,6b. street name,6c. street suffix,6d. unit #,6e. zip,7. undergraduate (u) or graduate (g),8. full-time (ft) or part-time (pt),9. at-home or not-at-home,9. 5 or more undergrads/unit (y/n),university,year,full_address
V829566,1013,2025-04-22 10:51:43,Open,105.1,,Failure to Obtain Permit,30A,30,Cleveland,ST,Hyde Park,MA,02136,18,30 Cleveland St,,Hyde Park,MA,02136,163488.0,42.25476189382426,-71.13029032553385,"(42.25476189382426, -71.13029032553385)",30 Cleveland St,02136,30,Cleveland,St,,2136,U,FT,N,,University of Massachusetts Boston,2020-2021,30 Cleveland St
V829566,1013,2025-04-22 10:51:43,Open,105.1,,Failure to Obtain Permit,30A,30,Cleveland,ST,Hyde Park,MA,02136,18,30 Cleveland St,,Hyde Park,MA,02136,163488.0,42.25476189382426,-71.13029032553385,"(42.25476189382426, -71.13029032553385)",30 Cleveland St,02136,30,Cleveland,St,,2136,U,FT,At-home,,University of Massachusetts-Boston,2022-2023,30 Cleveland St
V829566,1013,2025-04-22 10:51:43,Open,105.1,,Failure to Obtain Permit,30A,30,Cleveland,ST,Hyde Park,MA,02136,18,30 Cleveland St,,Hyde Park,MA,02136,163488.0,42.25476189382426,-71.13029032553385,"(42.25476189382426, -71.13029032553385)",30 Cleveland St,02136,30,Cleveland,St,,2136,U,FT,At Home,,University of Massachusetts-Boston,2023-2024,30 Cleveland St
V825922,1013,2025-04-02 08:42:50,Open,102.8,,Maintenance,124,,Academy Hill,RD,Brighton,MA,02135,22,124 Academy Hill Rd,,Brighton,MA,02135,218.0,42.34504964896772,-71.15502069395845,"(42.345049648967716, -71.15502069395845)",124 Academy Hill Rd,02135,124,Academy Hill,Rd,,02135,G,FT,,,Berkeley and Boston Conservatory,2018-2019,124 Academy Hill Rd
V822810,1013,2025-03-27 09:51:32,Open,1001.3.2,,Testing & Certification,9,,Ruggles,ST,Roxbury,MA,02119,09,58 GAINSBOROUGH ST,,BOSTON,MA,02115,169345.0,42.33143903317276,-71.08306755096795,"(42.33143903317276, -71.08306755096795)",58 Gainsborough St,02115,58,Gainsborough,St,,2115,U,FT,,,Berklee College of Music and Boston Conservatory,2019-2020,58 Gainsborough St
V824070,1013,2025-03-24 14:45:16,Closed,105.1,,Failure to Obtain Permit,23,,Grassmere,RD,Hyde Park,MA,02136,18,23 GRASSMERE RD,,HYDE PARK,MA,02136,66017.0,42.26866962746323,-71.12939080775053,"(42.26866962746323, -71.12939080775053)",23 Grassmere Rd,02136,23,Grassmere,Rd,,2136,U,FT,,N,University of Massachusetts-Boston,2018-2019,23 Grassmere Rd
V824070,1013,2025-03-24 14:45:16,Closed,105.1,,Failure to Obtain Permit,23,,Grassmere,RD,Hyde Park,MA,02136,18,23 GRASSMERE RD,,HYDE PARK,MA,02136,66017.0,42.26866962746323,-71.12939080775053,"(42.26866962746323, -71.12939080775053)",23 Grassmere Rd,02136,23,Grassmere,Rd,,2136,U,FT,N,,University of Massachusetts Boston,2020-2021,23 Grassmere Rd
V824070,1013,2025-03-24 14:45:16,Closed,105.1,,Failure to Obtain Permit,23,,Grassmere,RD,Hyde Park,MA,02136,18,23 GRASSMERE RD,,HYDE PARK,MA,02136,66017.0,42.26866962746323,-71.12939080775053,"(42.26866962746323, -71.12939080775053)",23 Grassmere Rd,02136,23,Grassmere,Rd,,2136,U,FT,At-home,,University of Massachusetts-Boston,2022-2023,23 Grassmere Rd
V823727,1013,2025-03-21 11:06:09,Open,105.1,,Failure to Obtain Permit,324,,Dorchester,ST,South Boston,MA,02127,07,324 Dorchester St,,South Boston,MA,02127,48986.0,42.33101951557269,-71.0536104967779,"(42.33101951557269, -71.0536104967779)",324 Dorchester St,02127,324,Dorchester,St,1,2127,G,FT,N,,Boston University,2021-2022,324 Dorchester St
V820042,1013,2025-03-19 11:26:34,Open,1001.3.2,,Testing & Certification,768,772,Tremont,ST,Roxbury,MA,02118,09,1313 Washington Street,Suite 115,Boston,MA,02118,137981.0,42.33941725925933,-71.07970527104894,"(42.33941725925933, -71.07970527104894)",1313 Washington Street,02118,1313,Washington,Street,Apt. 603,2118,G,FP,,,Boston University,2022-2023,1313 Washington Street
