simple_address_key,student_count,violation_count
1 ALLSTON 02124,2,1
1 BUCKLEY 02130,7,1
1 CENTRE 02119,5,1
1 DEVONSHIRE 02109,199,1
1 EMERSON 02114,121,1
1 HALEY 02119,2,2
1 HARTFORD 02125,3,2
1 HELENA 02122,1,1
1 HOWLAND 02121,2,1
1 JOHNNY 02111,1,1
1 KING 02122,1,2
1 LOCUST 02136,1,2
1 LONGFELLOW 02114,116,2
1 MURRAY 02119,1,1
1 MYSTIC 02129,2,1
1 NASSAU 02111,661,1
1 NAZING 02121,1,1
1 NOYES 02113,5,4
1 PARKER HILL 02120,17,1
1 POPES HILL 02122,1,2
1 POWERS 02109,1,1
1 ROSA 02136,1,9
1 SAINT CHARLES 02116,1,2
1 SOUTH POINT 02125,53,1
1 SPARHAWK 02135,2,1
1 UNION 02118,2,1
1 WEBB 02127,1,1
1 WESTINGHOUSE 02136,6,5
10 AINSLEY 02122,3,1
10 ASHFORD 02134,23,1
10 ASHLEY 02130,2,2
10 ATHOL 02134,5,1
10 BROOKWAY 02131,8,2
10 CASTLEGATE 02121,4,1
10 COFFEY 02122,3,2
10 FERNDALE 02124,3,1
10 FESSENDEN 02126,2,1
10 FLEET 02113,6,1
10 GLENVILLE 02134,15,1
10 HALE 02136,1,2
10 HARTFORD 02125,1,1
10 HAYNES 02128,3,1
10 LINDA 02125,8,1
10 LINWOOD 02119,7,6
10 MARCY 02126,4,1
10 MORELAND 02119,16,1
10 NAZING 02121,1,2
10 PARK VALE 02134,1,1
10 PRATT 02134,15,2
10 PRINCE 02113,1,1
10 ROYAL 02134,16,1
10 RUTHVEN 02121,2,1
10 SACHEM 02120,22,4
10 SAINT MARTIN 02129,3,1
10 SAUNDERS 02134,7,1
10 SCOTTFIELD 02134,18,1
10 SYDNEY 02125,1,1
10 TANGLEWOOD 02124,3,1
10 VERSHIRE 02132,1,1
10 WACHUSETT 02130,1,1
10 WAIT 02120,20,6
10 WARDMAN 02119,2,1
10 WESTVILLE 02124,1,1
100 BEACON 02116,1,1
100 CALUMET 02120,24,1
100 EMPIRE 02134,1,1
100 JAMAICA 02130,4,1
100 LANARK 02135,9,1
100 MOUNT PLEASANT 02119,1,16
100 QUEENSBERRY 02215,12,1
100 SEAVER 02121,1,7
100 TRAIN 02122,2,1
100 WINTHROP 02119,5,2
1000 HARVARD 02126,1,1
1000 WASHINGTON 02124,1,1
101 ANAWAN 02132,1,1
101 BEACON 02116,3,1
101 DRAPER 02122,2,1
101 LONDON 02128,1,1
101 LONSDALE 02124,1,3
101 ORLEANS 02128,28,9
101 ROSSETER 02121,1,6
101 WESTVILLE 02124,3,1
1017 RIVER 02136,2,1
102 ACADEMY HILL 02135,1,1
102 MAYWOOD 02119,1,1
102 MORELAND 02119,3,3
1027 COMMONWEALTH 02134,4,5
1028 WASHINGTON 02124,5,1
103 BEACON 02116,5,3
103 CHARTER 02113,1,1
103 EVANS 02124,1,1
103 MYRTLE 02114,1,1
103 SAINT ANDREW 02128,1,1
103 TOWNSEND 02121,1,3
1030 HYDE PARK 02136,2,1
1035 COMMONWEALTH 02134,1,2
1037 RIVER 02136,4,1
1039 COMMONWEALTH 02134,6,4
104 APPLETON 02116,3,1
104 G 02127,1,1
104 HEMENWAY 02115,64,1
104 LUCERNE 02124,3,1
104 MILTON 02124,3,1
104 MONTEBELLO 02130,3,1
104 PLEASANT 02125,2,1
104 WALTER 02131,1,1
104 WINTHROP 02119,5,6
1045 RIVER 02136,4,1
105 BEACON 02116,6,2
105 EVANS 02124,2,1
105 OAKLAND 02135,4,1
1053 SARATOGA 02128,1,2
1059 SARATOGA 02128,12,1
106 CLARE 02136,1,6
106 HAMMOND 02120,17,1
106 STANWOOD 02121,1,1
1060 SARATOGA 02128,1,1
107 BEACON 02116,1,3
107 ELM HILL 02121,2,1
107 JERSEY 02215,34,1
107 MAXWELL 02124,1,2
107 PINCKNEY 02114,1,1
107 WINTHROP 02119,1,2
108 BROOKS 02135,1,2
108 HEMENWAY 02115,42,1
108 HILLSIDE 02120,26,1
108 LORNA 02126,1,2
108 MARLBOROUGH 02116,6,5
108 MERIDIAN 02128,4,1
108 MINDEN 02130,3,3
108 RICHMOND 02109,3,2
108 RIVER 02126,1,1
108 WINTHROP 02119,6,1
1081 DORCHESTER 02125,1,2
1085 DORCHESTER 02125,6,1
1088 BOYLSTON 02115,1,1
109 DUSTIN 02135,1,1
109 F 02127,6,1
109 FULLER 02124,2,1
109 LEIGHTON 02136,2,2
109 MOUNT PLEASANT 02119,1,1
109 SAINT STEPHEN 02115,17,1
109 SALEM 02113,17,1
109 WEBSTER 02128,1,4
1090 RIVER 02136,2,1
11 ABBOTSFORD 02121,1,1
11 ADAMS 02122,7,2
11 ARCOLA 02130,4,1
11 ASHFORD 02134,13,1
11 BANFIELD 02126,1,1
11 BAYARD 02134,13,1
11 BEARSE 02124,1,4
11 BELL 02127,3,1
11 BELLFLOWER 02125,13,1
11 BOWDOIN 02121,2,2
11 BURRILL 02127,1,1
11 CARMEL 02120,19,1
11 CENTERVALE 02124,3,1
11 CHARTER 02113,7,1
11 CHURCH 02116,3,1
11 CLEMENTINE 02124,1,3
11 DANA 02136,1,1
11 DARTMOUTH 02116,4,2
11 EMROSE 02125,2,1
11 FERNDALE 02124,2,1
11 FRAWLEY 02115,4,2
11 GERALD 02135,16,2
11 HANOVER 02109,1,4
11 HAROLD 02119,2,4
11 HIGHGATE 02134,4,1
11 IRVING 02114,6,1
11 JOHNSON 02124,1,1
11 LANGDON 02119,8,1
11 LINDEN 02134,12,5
11 MARLBOROUGH 02116,8,2
11 MELROSE 02116,1,7
11 MERCER 02127,2,1
11 MOUNT PLEASANT 02119,1,1
11 MYRTLE 02114,4,1
11 NONQUIT 02125,1,1
11 NOTT 02136,1,3
11 OUTLOOK 02126,1,2
11 PRATT 02134,17,2
11 PRIMROSE 02131,1,1
11 QUEENSBERRY 02215,49,1
11 REVERE 02114,6,2
11 ROYCE 02134,125,2
11 SAINT WILLIAM 02125,3,1
11 SAXTON 02125,3,1
11 SHEAFE 02113,13,1
11 SUDAN 02125,1,1
11 SUTTON 02126,3,1
11 TEMPLE 02114,9,1
11 TICKNOR 02127,2,1
11 VERDUN 02124,1,1
11 WAINWRIGHT 02124,6,1
11 WAUMBECK 02121,2,1
11 WINFIELD 02127,1,2
110 CHESTNUT 02130,1,2
110 GREENBRIER 02124,4,12
110 HUNTINGTON 02116,5,3
110 LIVERMORE 02126,2,1
110 NEWBURY 02116,1,1
110 O 02127,4,2
110 PARIS 02128,19,1
110 PARK 02122,1,1
110 SAINT BOTOLPH 02115,2,4
1100 VFW 02132,2,2
111 EVERETT 02128,4,2
111 HARRISHOF 02121,3,1
111 MILLET 02124,2,1
111 PARK 02215,22,1
111 SALEM 02113,7,3
111 TERRACE 02120,8,1
111 WEST 02136,1,2
1115 SARATOGA 02128,1,1
1116 HYDE PARK 02136,1,3
1119 SARATOGA 02128,1,1
112 ADAMS 02122,3,1
112 GLENWAY 02121,3,1
112 MAGNOLIA 02125,4,2
112 MARLBOROUGH 02116,7,4
112 MILLET 02124,2,1
112 MYRTLE 02114,3,1
112 REVERE 02114,6,2
1127 HARRISON 02119,9,21
1127 WASHINGTON 02124,2,5
1129 SARATOGA 02128,5,1
113 LANARK 02135,3,1
113 MOORE 02128,1,2
1139 COMMONWEALTH 02134,286,2
114 ANTWERP 02135,1,1
114 FALCON 02128,6,1
114 FENWAY 02115,10,1
114 FOSTER 02135,1,1
114 GLADSTONE 02128,14,1
114 LONSDALE 02124,1,1
114 MARLBOROUGH 02116,8,4
114 NONANTUM 02135,2,2
115 APPLETON 02116,1,2
115 GAINSBOROUGH 02115,26,1
115 HAVRE 02128,2,1
115 ORLEANS 02128,7,2
115 RIVER 02126,2,1
115 SAINT STEPHEN 02115,44,2
115 SALEM 02113,15,6
115 WINTHROP 02119,1,1
1155 TREMONT 02120,26,1
116 ADAMS 02122,2,1
116 MARLBOROUGH 02116,5,3
116 WASHINGTON 02135,105,1
1162 MORTON 02126,1,2
1165 COMMONWEALTH 02134,26,1
117 BOWDOIN 02124,3,1
117 GLENVILLE 02134,10,1
117 HOWLAND 02121,1,1
117 ORLEANS 02128,4,2
117 PARK 02215,24,1
118 HARRISHOF 02121,1,1
118 HIGHLAND 02119,11,3
118 HOWLAND 02121,2,2
118 MELVILLE 02124,4,1
118 MOUNT VERNON 02108,2,1
118 SAXTON 02125,2,1
118 SOUTH 02111,2,1
1183 BENNINGTON 02128,1,1
1187 MORTON 02126,1,3
1187 SARATOGA 02128,3,3
119 BAY STATE 02215,1,1
119 LEXINGTON 02128,3,1
1197 BOYLSTON 02215,194,1
12 ARCADIA 02122,3,1
12 ASHLAND 02122,1,1
12 ATHOL 02134,8,1
12 BAILEY 02124,4,1
12 BRAEMORE 02135,29,1
12 BUCKNAM 02120,20,6
12 CASTLEGATE 02121,2,1
12 COMMONWEALTH 02116,8,1
12 CREIGHTON 02130,5,1
12 DADE 02119,13,1
12 EMMET 02127,1,1
12 ETHEL 02131,2,1
12 FALCON 02128,1,1
12 FOREST HILLS 02130,4,5
12 FOSTER 02109,19,2
12 FOSTER 02135,4,1
12 GROVE 02114,1,1
12 HANCOCK 02114,12,2
12 HARVARD 02134,20,2
12 KENRICK 02135,1,1
12 MCLELLAN 02121,3,1
12 MOULTRIE 02124,3,1
12 PARIS 02128,1,1
12 PLAIN 02122,2,1
12 POND 02130,2,1
12 ROACH 02125,1,1
12 ROCKWAY 02126,1,4
12 ROSELAND 02124,3,1
12 SCHILLER 02130,8,2
12 STANTON 02124,1,1
12 WADSWORTH 02134,22,3
12 WAIT 02120,4,2
12 WAVERLY 02135,1,1
12 WINTER 02136,2,1
12 WOODLAWN 02130,4,1
120 BAY STATE 02215,1,1
120 GLADSTONE 02128,7,2
120 L 02127,1,1
120 MILK 02109,1,4
120 MINDEN 02130,13,1
120 NEWTON 02135,2,1
120 PARK 02122,1,1
120 SAVIN HILL 02125,7,2
121 BEACH 02111,11,1
121 CHARLES 02114,2,2
121 FULTON 02109,1,1
121 HOMES 02122,9,1
121 PORTLAND 02114,27,5
121 TREMONT 02135,14,4
1210 VFW 02132,1,2
1211 COMMONWEALTH 02134,17,1
1212 COMMONWEALTH 02134,16,1
1216 COMMONWEALTH 02134,7,1
122 BREMEN 02128,4,3
122 POND 02130,1,1
123 ANTWERP 02135,11,1
123 COTTAGE 02128,1,1
123 EUTAW 02128,3,2
123 FANEUIL 02135,2,2
123 MARLBOROUGH 02116,7,1
123 WELLINGTON HILL 02126,1,1
124 BEACON 02116,4,4
124 BYNNER 02130,1,1
124 DEVON 02121,1,2
124 KENRICK 02135,2,1
124 MARCELLA 02119,4,2
124 SPRING 02132,1,2
125 COTTAGE 02128,4,1
125 FULTON 02109,2,1
125 LEYDEN 02128,4,5
125 MYRTLE 02114,11,1
1254 COMMONWEALTH 02134,123,1
1258 COMMONWEALTH 02134,111,4
126 BORDER 02128,91,1
126 CALUMET 02120,12,2
126 ELM 02129,3,1
126 LONDON 02128,3,3
126 PRINCETON 02128,2,1
126 SALEM 02113,4,1
1267 COMMONWEALTH 02134,18,1
127 BEACON 02116,2,3
127 CHARLES 02114,2,2
127 COTTAGE 02128,2,1
127 DANA 02136,1,1
127 HARRISHOF 02121,2,3
127 SAINT BOTOLPH 02115,1,1
127 SHIRLEY 02119,1,1
127 STANDARD 02126,2,1
1273 MASSACHUSETTS 02125,2,3
1275 MASSACHUSETTS 02125,6,3
1277 COMMONWEALTH 02134,32,3
128 CALUMET 02120,13,1
128 CHESTNUT 02108,15,1
128 NEWBURY 02116,2,1
1285 RIVER 02136,1,1
129 CHISWICK 02135,30,1
129 COLUMBIA 02121,1,2
129 LAKE SHORE 02135,8,1
129 SAINT ALPHONSUS 02120,13,1
1292 COMMONWEALTH 02134,47,2
13 CENTRE 02122,2,1
13 CHELSEA 02128,1,5
13 HANOVER 02109,1,1
13 HAVILAND 02115,98,1
13 HIGGINS 02134,7,1
13 MONUMENT 02129,4,1
13 PARK 02129,4,1
13 PARKMAN 02122,1,1
13 RUGGLES 02119,1,2
13 SACHEM 02120,25,1
130 AUCKLAND 02125,3,1
130 BOWDOIN 02108,33,1
130 HIGHLAND 02119,1,1
130 MYRTLE 02114,5,1
130 WEBSTER 02128,2,3
131 I 02127,1,1
131 ORLEANS 02128,1,2
131 PUTNAM 02128,1,1
131 SEAPORT 02210,23,3
131 TREMONT 02111,45,4
1315 COMMONWEALTH 02134,21,1
132 BENNINGTON 02128,1,1
132 CHISWICK 02135,12,1
132 TRENTON 02128,1,2
132 WRENTHAM 02124,7,3
1325 BOYLSTON 02215,7,1
1325 COMMONWEALTH 02134,99,1
133 CHISWICK 02135,19,1
133 EUSTIS 02119,14,1
133 PETERBOROUGH 02215,196,1
133 PRINCETON 02128,1,2
134 WARREN 02119,3,4
135 CALUMET 02120,4,1
135 CLARENDON 02116,61,1
135 NEPONSET 02122,1,1
135 ORLEANS 02128,20,1
135 SALEM 02113,2,2
136 CHISWICK 02135,3,1
136 GLADSTONE 02128,1,1
136 PRINCE 02113,1,7
1366 RIVER 02136,1,1
1369 CENTRE 02132,1,1
137 BAY STATE 02215,2,1
137 BROOKS 02128,1,3
137 CHARLES 02114,2,2
137 FRANKLIN 02134,2,1
137 HANCOCK 02125,4,2
137 NEWBURY 02116,1,1
137 PEARL 02110,6,1
137 PETERBOROUGH 02215,71,3
137 SALEM 02113,7,1
138 CHELSEA 02128,1,3
1381 COMMONWEALTH 02134,56,1
139 BEACON 02116,4,2
139 BRIGHTON 02134,2,1
139 FALCON 02128,1,1
139 HILLSIDE 02120,16,1
139 PARIS 02128,1,2
1396 DORCHESTER 02122,3,1
1399 RIVER 02136,1,1
14 ALCOTT 02134,5,8
14 ARCOLA 02130,5,2
14 BIRD 02125,5,1
14 BREMEN 02128,1,1
14 CLAREMONT 02118,1,1
14 DANUBE 02125,1,1
14 DARTMOUTH 02116,2,1
14 ELDER 02125,14,1
14 EVELYN 02126,2,1
14 GANNETT 02121,1,1
14 GARDNER 02134,37,1
14 GLEASON 02121,1,2
14 GLENDALE 02125,1,1
14 GLOUCESTER 02115,1,1
14 GREENWICH 02118,1,1
14 HARTWELL 02121,2,1
14 HARVARD 02124,2,1
14 HILLSIDE 02120,20,3
14 HULL 02113,2,1
14 IRVING 02114,7,1
14 LAKEVILLE 02130,4,1
14 LESHER 02131,2,1
14 LINDALL 02114,2,1
14 MALLET 02124,1,2
14 MEEHAN 02130,3,4
14 MORROW 02135,4,1
14 MOUNT CALVARY 02131,1,2
14 NORTH 02113,2,1
14 O 02127,2,1
14 PARIS 02128,10,1
14 RAVEN 02125,1,3
14 SEMONT 02124,2,1
14 TORREY 02124,1,2
14 TYLER 02111,57,1
14 VICTORY 02122,1,1
14 WADSWORTH 02134,22,1
14 WAIT 02120,7,3
14 WESTFORD 02134,7,1
14 WESTMORE 02126,1,1
14 WOODHAVEN 02126,1,1
140 BOYLSTON 02116,5,2
140 CEDAR 02119,16,2
140 CHELSEA 02128,1,1
140 CLARENDON 02116,22,4
140 HARRISHOF 02121,1,1
140 NEWTON 02135,4,1
140 PRINCE 02113,16,2
1400 CENTRE 02131,1,1
1401 DORCHESTER 02122,1,1
1409 COMMONWEALTH 02135,22,1
1409 RIVER 02136,5,1
141 ARLINGTON 02116,6,1
141 BEACON 02116,1,2
141 BRAYTON 02135,1,1
141 DAKOTA 02124,3,1
141 DRAPER 02122,1,2
141 HIGH 02129,1,3
141 INTERVALE 02121,3,1
141 L 02127,3,1
141 REVERE 02114,2,1
1410 COLUMBIA 02127,33,2
1411 BLUE HILL 02126,1,1
142 DORCHESTER 02127,2,1
142 MARGINAL 02128,3,1
142 NORWELL 02121,2,1
1428 BLUE HILL 02126,4,2
143 HIGHLAND 02119,1,1
143 MARCELLA 02119,4,1
143 TONAWANDA 02124,1,3
143 WILLIAMS 02130,2,1
1430 COLUMBIA 02127,1,2
144 ADDISON 02128,32,2
144 CHELSEA 02128,3,2
144 ELMER 02124,2,1
144 WEBSTER 02128,4,2
1441 TREMONT 02120,5,1
145 ENDICOTT 02113,19,2
145 PINCKNEY 02114,25,1
145 SAINT ALPHONSUS 02120,9,2
145 WEST 02136,1,1
1450 BLUE HILL 02126,1,2
1451 TREMONT 02120,24,1
146 GLENWAY 02121,5,1
146 WASHINGTON 02121,1,1
147 APPLETON 02116,1,1
147 CHARLES 02114,2,1
147 CHELSEA 02128,3,1
147 MARCELLA 02119,8,1
147 MERIDIAN 02128,2,1
148 TRENTON 02128,5,1
148 WARREN 02116,2,1
1482 HYDE PARK 02136,1,1
149 BENNINGTON 02128,1,1
149 CALUMET 02120,10,2
149 CHARLES 02114,2,1
149 ENDICOTT 02113,8,2
149 GLENWAY 02121,2,2
149 HILLSIDE 02120,7,1
149 LEXINGTON 02128,2,2
149 SALEM 02113,1,1
15 BELLVISTA 02135,10,1
15 BLACKWOOD 02115,2,2
15 BURRELL 02119,2,1
15 CARSON 02125,1,1
15 CHANNEL CENTER 02210,4,3
15 CHESTER 02134,47,1
15 CUSTER 02130,1,4
